"","share_issue","share","issue","lobbyist"
"Y0000041282L","0.509433962264151-HCR",0.509433962264151,"HCR","Y0000041282L"
"Y0000041284L","0.742268041237113-TAX",0.742268041237113,"TAX","Y0000041284L"
"Y0000041288L","0.379310344827586-TRD",0.379310344827586,"TRD","Y0000041288L"
"Y0000041289L","0.146662953680498-TRA",0.146662953680498,"TRA","Y0000041289L"
"Y0000041291L","0.844387755102041-TEC",0.844387755102041,"TEC","Y0000041291L"
"Y0000041292L","0.644619343120932-ENG",0.644619343120932,"ENG","Y0000041292L"
"Y0000041292M","0.21996855345912-TAX",0.21996855345912,"TAX","Y0000041292M"
"Y0000041293L","0.767857142857143-ENG",0.767857142857143,"ENG","Y0000041293L"
"Y0000041294L","0.0608159342870053-WAS",0.0608159342870053,"WAS","Y0000041294L"
"Y0000041295L","1-EDU",1,"EDU","Y0000041295L"
"Y0000041296L","0.38164802556494-FIN",0.38164802556494,"FIN","Y0000041296L"
"Y0000041297L","0.163889127099829-ENG",0.163889127099829,"ENG","Y0000041297L"
"Y0000041303L","1-BUD",1,"BUD","Y0000041303L"
"Y0000041310L","0.163660461846293-TAX",0.163660461846293,"TAX","Y0000041310L"
"Y0000041313L","0.471698113207547-GAM",0.471698113207547,"GAM","Y0000041313L"
"Y0000041315L","0.333333333333333-MMM",0.333333333333333,"MMM","Y0000041315L"
"Y0000041316L","0.827956989247312-TRA",0.827956989247312,"TRA","Y0000041316L"
"Y0000041317L","0.16378408816668-HCR",0.16378408816668,"HCR","Y0000041317L"
"Y0000041318L","0.0555555555555556-TRD",0.0555555555555556,"TRD","Y0000041318L"
"Y0000041319L","1-TRA",1,"TRA","Y0000041319L"
"Y0000041322L","1-FIN",1,"FIN","Y0000041322L"
"Y0000041325L","0.41105404938627-TAX",0.41105404938627,"TAX","Y0000041325L"
"Y0000041328L","0.128339566416348-TRD",0.128339566416348,"TRD","Y0000041328L"
"Y0000041329L","0.666666666666667-DIS",0.666666666666667,"DIS","Y0000041329L"
"Y0000041330L","0.8-CPT",0.8,"CPT","Y0000041330L"
"Y0000041333L","0.216708860759494-BAN",0.216708860759494,"BAN","Y0000041333L"
"Y0000041334L","0.159481670224732-HCR",0.159481670224732,"HCR","Y0000041334L"
"Y0000041339L","0.608695652173913-ENV",0.608695652173913,"ENV","Y0000041339L"
"Y0000041340L","0.173453996983409-BUD",0.173453996983409,"BUD","Y0000041340L"
"Y0000041344L","0.16069984986719-TRD",0.16069984986719,"TRD","Y0000041344L"
"Y0000041351L","0.248167228056271-BUD",0.248167228056271,"BUD","Y0000041351L"
"Y0000041354L","0.385852090032154-HCR",0.385852090032154,"HCR","Y0000041354L"
"Y0000041355L","1-TEC",1,"TEC","Y0000041355L"
"Y0000041356L","0.51063829787234-FIN",0.51063829787234,"FIN","Y0000041356L"
"Y0000041360L","0.775-CPI",0.775,"CPI","Y0000041360L"
"Y0000041362L","0.380047505938242-AVI",0.380047505938242,"AVI","Y0000041362L"
"Y0000041364L","0.247814032842824-NAT",0.247814032842824,"NAT","Y0000041364L"
"Y0000041365L","0.376075731497418-BUD",0.376075731497418,"BUD","Y0000041365L"
"Y0000041366L","0.416666666666667-ENG",0.416666666666667,"ENG","Y0000041366L"
"Y0000041367L","0.2-BUD",0.2,"BUD","Y0000041367L"
"Y0000041368L","0.216296296296296-BUD",0.216296296296296,"BUD","Y0000041368L"
"Y0000041369L","1-AVI",1,"AVI","Y0000041369L"
"Y0000041371L","0.6-BUD",0.6,"BUD","Y0000041371L"
"Y0000041372L","0.202891203069334-TOB",0.202891203069334,"TOB","Y0000041372L"
"Y0000041373L","1-TAX",1,"TAX","Y0000041373L"
"Y0000041374L","0.478070175438596-TRA",0.478070175438596,"TRA","Y0000041374L"
"Y0000041375L","0.226241438356164-TAX",0.226241438356164,"TAX","Y0000041375L"
"Y0000041378L","0.75-VET",0.75,"VET","Y0000041378L"
"Y0000041379L","0.38699245418613-HCR",0.38699245418613,"HCR","Y0000041379L"
"Y0000041382L","0.32741516583642-ENG",0.32741516583642,"ENG","Y0000041382L"
"Y0000041384L","0.125-TRU",0.125,"TRU","Y0000041384L"
"Y0000041385L","0.567567567567568-ENV",0.567567567567568,"ENV","Y0000041385L"
"Y0000041387L","1-HOU",1,"HOU","Y0000041387L"
"Y0000041388L","0.260906757912746-TAX",0.260906757912746,"TAX","Y0000041388L"
"Y0000041390L","0.158784828503127-TAX",0.158784828503127,"TAX","Y0000041390L"
"Y0000041392L","0.333333333333333-TAX",0.333333333333333,"TAX","Y0000041392L"
"Y0000041393L","0.283879241497066-HCR",0.283879241497066,"HCR","Y0000041393L"
"Y0000041394L","0.382702915681639-BUD",0.382702915681639,"BUD","Y0000041394L"
"Y0000041395L","0.698412698412698-IND",0.698412698412698,"IND","Y0000041395L"
"Y0000041398L","0.15125738600843-HCR",0.15125738600843,"HCR","Y0000041398L"
"Y0000041399L","0.680327868852459-BUD",0.680327868852459,"BUD","Y0000041399L"
"Y0000041400L","1-ENV",1,"ENV","Y0000041400L"
